playTime,frequency
1,130
2,3673
3,7546
4,8615
5,8177
6,7770
7,7130
8,6286
9,5480
10,5040
11,4431
12,3925
13,3474
14,3122
15,2737
16,2415
17,2130
18,1957
19,1761
20,1591
21,1401
22,1226
23,1053
24,965
25,903
26,797
27,718
28,614
29,562
30,501
31,424
32,385
33,326
34,292
35,269
36,224
37,219
38,190
39,181
40,131
41,118
42,124
43,101
44,109
45,85
46,70
47,68
48,66
49,61
50,41
51,39
52,45
53,34
54,28
55,29
56,18
57,20
58,25
59,12
60,8
61,16
62,12
63,10
64,15
65,9
66,6
67,3
68,5
69,7
70,2
71,6
72,1
73,5
74,1
75,4
78,1
79,4
80,2
81,3
83,3
85,2
86,2
87,3
89,1
90,3
94,1
103,1
